# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 16 10 1340 0.000512 4096 4.57118e-41 1200 44224 8.6528 191.955 262.189 462.845 462.903
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 18 10 1340 0.000512 4096 4.57748e-41 1200 44208 8.65008 221.704 262.149 492.553 492.611
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 20 10 1340 0.000512 4096 4.58757e-41 1200 44160 8.63901 230.964 261.752 501.405 501.464
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 24 10 1340 0.000512 4096 4.58855e-41 1200 44160 8.64397 214.119 261.996 484.808 484.868
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 25 10 1340 0.000512 4096 4.56347e-41 1200 44200 8.66304 217.414 262.039 488.166 488.224
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 28 10 1340 0.000512 4096 4.5566e-41 1200 44128 8.63027 223.865 261.901 494.446 494.505
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 30 10 1340 0.000512 4096 4.56739e-41 1200 44160 8.66067 223.764 264.493 496.969 497.029
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 32 10 1340 0.000512 4096 4.57272e-41 1200 44160 8.65248 218.36 261.971 489.043 489.106
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 48 10 1340 0.000512 4096 4.58337e-41 1200 43968 8.61955 218.894 261.477 489.041 489.097
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 50 10 1340 0.000512 4096 4.56543e-41 1200 44000 8.63027 234.55 261.726 504.956 505.016
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 64 10 1340 0.000512 4096 4.59009e-41 1200 44032 8.6528 275.655 261.974 546.332 546.393
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 8 15 1340 0.000512 4096 4.58169e-41 1200 44256 8.65894 188.506 262.191 459.406 459.465
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 10 15 1340 0.000512 4096 4.58729e-41 1200 44240 8.6551 190.644 262.157 461.506 461.566
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 12 15 1340 0.000512 4096 4.56067e-41 1200 44208 8.64854 190.253 261.806 460.758 460.82
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 14 15 1340 0.000512 4096 4.56963e-41 1200 44240 8.65674 193.862 262.017 464.588 464.645
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 16 15 1340 0.000512 4096 4.56291e-41 1200 44224 8.65894 198.897 262.016 469.625 469.687
