# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 16 10 530 6.4e-05 4096 0.015 6130 250880 235.707 96.1492 10007.3 2868.25 13207.8 13208
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 18 10 530 6.4e-05 4096 0.015 6130 251136 236.426 96.4646 11890.3 2845.27 15068.8 15069.1
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 20 10 530 6.4e-05 4096 0.015 6130 250880 235.791 96.3974 12334.6 2871.26 15538.4 15538.7
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 24 10 530 6.4e-05 4096 0.015 6130 250368 235.408 96.2876 11484.3 2844.54 14660.9 14661.3
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 25 10 530 6.4e-05 4096 0.015 6130 251200 236.418 96.533 11629.7 2843.81 14806.8 14807.1
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 28 10 530 6.4e-05 4096 0.015 6130 249088 235.879 96.2384 11792.5 2840.77 14965.7 14966
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 30 10 530 6.4e-05 4096 0.015 6130 249600 236.608 96.4737 11933 2846.62 15113 15113.3
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 32 10 530 6.4e-05 4096 0.015 6130 249856 235.146 96.1435 11535.2 2838.28 14705.1 14705.4
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 48 10 530 6.4e-05 4096 0.015 6130 248832 237.35 96.8202 11647.1 2853.17 14834.8 14835.1
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 50 10 530 6.4e-05 4096 0.015 6130 249600 237.418 96.9986 12509.8 2853.57 15698.2 15698.5
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 64 10 530 6.4e-05 4096 0.015 6130 249856 235.17 96.1372 14479.2 2836.86 17647.7 17648
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 8 15 530 6.4e-05 4096 0.015 6135 251392 234.978 96.0435 10159.8 2837.27 13328.5 13328.8
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 10 15 530 6.4e-05 4096 0.015 6135 251520 236.346 96.2729 10264.1 2843.3 13440.4 13440.7
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 12 15 530 6.4e-05 4096 0.015 6135 251136 235.353 96.2563 10216.9 2843.27 13392.1 13392.4
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 14 15 530 6.4e-05 4096 0.015 6135 250880 236.221 96.1556 10385.2 2836.68 13554.6 13554.8
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
