# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 16 10 579.5 0.000128 1024 0.27 420 137216 20.5223 8.4432 88.6043 261.417 379.178 379.332
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 18 10 579.5 0.000128 1024 0.27 420 135936 20.5695 8.4296 99.7292 259.996 388.918 389.071
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 20 10 579.5 0.000128 1024 0.27 420 135680 20.6997 8.45398 104.268 261.439 395.055 395.219
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 24 10 579.5 0.000128 1024 0.27 420 135168 20.5427 8.40752 96.5041 259.847 385.495 385.645
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 25 10 579.5 0.000128 1024 0.27 420 137600 20.6795 8.49891 99.3552 262.081 390.809 390.953
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 28 10 579.5 0.000128 1024 0.27 420 136192 20.4961 8.41728 101.561 260.112 390.776 390.941
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 30 10 579.5 0.000128 1024 0.27 420 134400 20.4333 8.36198 101.08 257.998 388.074 388.229
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 32 10 579.5 0.000128 1024 0.27 420 135168 20.3638 8.3633 98.0049 258.734 385.658 385.81
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 48 10 579.5 0.000128 1024 0.27 420 129024 20.6867 8.2552 95.0107 255.857 380.008 380.168
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 50 10 579.5 0.000128 1024 0.27 420 134400 20.4441 8.36976 105.853 258.142 393.002 393.155
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 64 10 579.5 0.000128 1024 0.27 420 131072 20.0712 8.14541 120.758 253.638 402.806 402.964
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 8 15 579.5 0.000128 1024 0.27 420 137216 20.5608 8.43914 140.623 261.134 430.945 431.098
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 10 15 579.5 0.000128 1024 0.27 420 136960 20.6699 8.46042 139.618 261.146 430.091 430.244
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 12 15 579.5 0.000128 1024 0.27 420 136704 20.7232 8.46848 137.327 262.065 428.78 428.938
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 14 15 579.5 0.000128 1024 0.27 420 136192 20.5611 8.41779 88.4941 260.029 377.691 377.844
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 16 15 579.5 0.000128 1024 0.27 420 137216 20.5377 8.43872 90.7601 261.169 381.099 381.247
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 18 15 579.5 0.000128 1024 0.27 420 135936 20.5699 8.42138 102.731 259.809 391.725 391.887
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 20 15 579.5 0.000128 1024 0.27 420 135680 20.6512 8.45549 100.239 261.416 390.959 391.121
