# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 16 10 1640 0.000256 4096 0 6740 68096 13.997 1638.57 419.392 2072.02 2072.07
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 18 10 1640 0.000256 4096 0 6740 68112 14.0013 1956.4 420.77 2391.22 2391.27
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 20 10 1640 0.000256 4096 0 6740 68080 13.9919 2028.67 419.417 2462.13 2462.18
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 24 10 1640 0.000256 4096 0 6740 68064 13.9958 1884.82 418.972 2317.84 2317.9
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 25 10 1640 0.000256 4096 0 6740 68000 13.9878 1907.76 419.082 2340.88 2340.93
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 28 10 1640 0.000256 4096 0 6740 67984 13.9924 1950.33 420.175 2384.55 2384.6
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 30 10 1640 0.000256 4096 0 6740 68040 13.9911 1965.71 419.494 2399.25 2399.3
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 32 10 1640 0.000256 4096 0 6740 67968 13.9915 1902.32 419.149 2335.51 2335.56
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 48 10 1640 0.000256 4096 0 6740 67968 13.9915 1922.92 419.029 2355.99 2356.04
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 50 10 1640 0.000256 4096 0 6740 67800 13.9899 2046.78 418.619 2479.44 2479.49
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 64 10 1640 0.000256 4096 0 6740 67840 14.0014 2387.71 420.132 2821.9 2821.94
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 8 15 1640 0.000256 4096 0 6735 68160 14.0136 1667.19 419.611 2100.86 2100.91
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 10 15 1640 0.000256 4096 0 6735 68120 14.0052 1678.85 419.414 2112.33 2112.38
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 12 15 1640 0.000256 4096 0 6735 68112 14.0001 1673.43 419.438 2106.91 2106.96
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 14 15 1640 0.000256 4096 0 6735 68096 13.9919 1702.38 419.403 2135.83 2135.88
