# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 16 10 1300 3.2e-05 2048 0.16 4820 732672 117.074 74.5537 8294.2 2223.52 10709.6 10709.9
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 18 10 1300 3.2e-05 2048 0.16 4820 732672 117.349 74.7688 9922.69 2225.41 12340.5 12340.8
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 20 10 1300 3.2e-05 2048 0.16 4820 732160 116.983 74.7704 10329.6 2225.28 12746.9 12747.2
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 24 10 1300 3.2e-05 2048 0.16 4820 732672 116.926 74.7639 9628.78 2227.42 12048.2 12048.4
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 25 10 1300 3.2e-05 2048 0.16 4820 732000 117.547 74.8291 9776.44 2227.88 12197 12197.2
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 28 10 1300 3.2e-05 2048 0.16 4820 732032 116.923 74.6423 9989.36 2225.37 12406.6 12406.8
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 30 10 1300 3.2e-05 2048 0.16 4820 731520 117.501 74.8712 10061.6 2228.39 12482.7 12482.9
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 32 10 1300 3.2e-05 2048 0.16 4820 732160 116.801 74.6419 9749 2225.29 12166 12166.3
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 48 10 1300 3.2e-05 2048 0.16 4820 731136 117.032 74.6402 9801.18 2225.79 12218.9 12219.2
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 50 10 1300 3.2e-05 2048 0.16 4820 731200 117.514 74.8956 10490.7 2228.56 12912 12912.2
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 64 10 1300 3.2e-05 2048 0.16 4820 731136 116.946 74.7602 12215.9 2226.06 14634 14634.2
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 8 15 1300 3.2e-05 2048 0.16 4815 732928 116.865 74.5748 8485.57 2224.39 10901.7 10902
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 10 15 1300 3.2e-05 2048 0.16 4815 733120 117.397 74.7015 8588.67 2245.43 11026.5 11026.8
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 12 15 1300 3.2e-05 2048 0.16 4815 733056 117.08 74.6813 8533.42 2224.34 10949.8 10950
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 14 15 1300 3.2e-05 2048 0.16 4815 732480 117.312 74.8176 8738.91 2224.98 11156.3 11156.5
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 16 15 1300 3.2e-05 2048 0.16 4815 732672 117.003 74.5774 8581.11 2247.55 11020.5 11020.8
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 18 15 1300 3.2e-05 2048 0.16 4815 732672 117.282 74.7658 10106.1 2228.34 12526.8 12527
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 20 15 1300 3.2e-05 2048 0.16 4815 732800 116.835 74.6704 9860.76 2224.19 12276.8 12277
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 24 15 1300 3.2e-05 2048 0.16 4815 732672 116.621 74.6718 10480.7 2238.86 12911.2 12911.4
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 25 15 1300 3.2e-05 2048 0.16 4815 732800 117.366 74.8745 10434.4 2223.69 12850.6 12850.9
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 28 15 1300 3.2e-05 2048 0.16 4815 732032 116.818 74.6711 10503.9 2225.16 12920.8 12921.1
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 30 15 1300 3.2e-05 2048 0.16 4815 732480 117.106 74.7443 10349.3 2223.39 12764.8 12765
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 32 15 1300 3.2e-05 2048 0.16 4815 732160 116.687 74.5247 9914.84 2222.99 12329.3 12329.6
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 48 15 1300 3.2e-05 2048 0.16 4815 731136 116.876 74.8043 11470.9 2227.56 13890.4 13890.7
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 50 15 1300 3.2e-05 2048 0.16 4815 732800 117.058 74.672 11556.6 2226.18 13974.8 13975
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 64 15 1300 3.2e-05 2048 0.16 4815 731136 116.921 74.7436 10537.3 2227.89 12957.1 12957.4
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 8 20 1300 3.2e-05 2048 0.16 4820 732672 116.95 74.7761 8049.66 2225.03 10466.7 10467
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 10 20 1300 3.2e-05 2048 0.16 4820 732480 117.418 74.8383 9061.26 2228.21 11482 11482.3
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 12 20 1300 3.2e-05 2048 0.16 4820 732672 117.074 74.6745 8428.05 2227.7 10847.8 10848
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 14 20 1300 3.2e-05 2048 0.16 4820 732480 117.452 74.7319 8533.92 2226.61 10953 10953.2
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 16 20 1300 3.2e-05 2048 0.16 4820 732160 117.025 74.7369 8275.63 2226.83 10694.5 10694.8
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 18 20 1300 3.2e-05 2048 0.16 4820 732672 117.139 74.8077 10601.6 2227.23 13021.1 13021.3
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 4 18 20 1300 3.2e-05 2048 0.16 4820 732672 116.735 74.7342 7360.03 2227.08 9778.85 9779.08
