# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 16 10 1780 6.4e-05 4096 4.57314e-41 810 382336 69.6883 1159.4 2097.1 3326.24 3326.29
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 18 10 1780 6.4e-05 4096 4.58967e-41 810 382320 69.6913 1304.62 2094.95 3469.32 3469.38
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 20 10 1780 6.4e-05 4096 4.57776e-41 810 382320 69.6888 1354.2 2095.05 3518.99 3519.05
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 24 10 1780 6.4e-05 4096 4.57426e-41 810 382272 69.703 1269.93 2096.92 3436.61 3436.67
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 25 10 1780 6.4e-05 4096 4.58603e-41 810 382300 69.6806 1282.97 2096.72 3449.42 3449.47
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 28 10 1780 6.4e-05 4096 4.55997e-41 810 382256 69.6859 1314.25 2096.94 3480.93 3480.99
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 30 10 1780 6.4e-05 4096 4.57748e-41 810 382200 69.6974 1322.08 2096.14 3487.96 3488.03
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 32 10 1780 6.4e-05 4096 4.55828e-41 810 382208 69.707 1280.46 2094.79 3445.01 3445.06
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 48 10 1780 6.4e-05 4096 4.56529e-41 810 382080 69.6977 1290.52 2095.92 3456.18 3456.24
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 50 10 1780 6.4e-05 4096 4.59107e-41 810 382200 69.6916 1375.79 2097.28 3542.81 3542.87
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 64 10 1780 6.4e-05 4096 4.56795e-41 810 381952 69.668 1612.8 2096.22 3778.75 3778.8
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
2 4 2 8 15 1780 6.4e-05 4096 4.55716e-41 810 382368 69.7058 2258.9 2095.4 4424.06 4424.11
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
2 4 2 10 15 1780 6.4e-05 4096 4.5758e-41 810 382360 69.6791 2429.54 2096.84 4596.11 4596.17
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
2 4 2 12 15 1780 6.4e-05 4096 4.57888e-41 810 382368 69.6893 2294.65 2094.62 4459.01 4459.07
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 14 15 1780 6.4e-05 4096 4.58239e-41 810 382312 69.6901 1162.84 2096.68 3329.26 3329.32
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 16 15 1780 6.4e-05 4096 4.56865e-41 810 382336 69.675 1186.65 2094.79 3351.17 3351.23
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 18 15 1780 6.4e-05 4096 4.58827e-41 810 382320 69.7055 1324.44 2095.07 3489.27 3489.32
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 20 15 1780 6.4e-05 4096 4.56165e-41 810 382320 69.6845 1291.39 2095.41 3456.54 3456.59
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 24 15 1780 6.4e-05 4096 4.56515e-41 810 382272 69.6968 1377.73 2094.75 3542.24 3542.29
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 25 15 1780 6.4e-05 4096 4.57636e-41 810 382300 69.6819 1365.69 2096.89 3532.31 3532.38
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 28 15 1780 6.4e-05 4096 4.57188e-41 810 382256 69.6877 1377.08 2096.68 3543.5 3543.56
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 30 15 1780 6.4e-05 4096 4.57076e-41 810 382200 69.6975 1358.41 2094.69 3522.86 3522.91
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 32 15 1780 6.4e-05 4096 4.58575e-41 810 382208 69.7038 1302.82 2096.77 3469.34 3469.4
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 48 15 1780 6.4e-05 4096 4.56711e-41 810 382080 69.7021 1513.85 2096.17 3679.78 3679.84
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 50 15 1780 6.4e-05 4096 4.5751e-41 810 382200 69.6852 1524.22 2096.86 3690.83 3690.88
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 64 15 1780 6.4e-05 4096 4.5744e-41 810 381952 69.6645 1392.48 2095.9 3558.1 3558.15
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
2 4 2 8 20 1780 6.4e-05 4096 4.57328e-41 820 382272 69.7321 2367.53 2095.16 4532.47 4532.53
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
2 4 2 10 20 1780 6.4e-05 4096 4.58799e-41 820 382240 69.7276 2431.7 2096.94 4598.42 4598.48
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
2 4 2 12 20 1780 6.4e-05 4096 4.59037e-41 820 382224 69.7227 2147.74 2095.14 4312.66 4312.72
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 14 20 1780 6.4e-05 4096 4.56865e-41 820 382256 69.7289 1155.31 2096.93 3322.02 3322.08
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 16 20 1780 6.4e-05 4096 4.57216e-41 820 382208 69.7242 1165.53 2096.93 3332.24 3332.3
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 18 20 1780 6.4e-05 4096 4.58967e-41 820 382176 69.7186 1405.35 2096.83 3571.95 3572.01
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 4 18 20 1780 6.4e-05 4096 4.56165e-41 820 382032 69.7319 978.085 2096.35 3144.22 3144.28
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 20 20 1780 6.4e-05 4096 4.58491e-41 820 382160 69.7275 1349.02 2094.77 3513.57 3513.63
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 4 20 20 1780 6.4e-05 4096 4.57552e-41 820 382080 69.7198 944.222 2094.75 3108.75 3108.8
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 24 20 1780 6.4e-05 4096 4.57566e-41 820 382176 69.7291 1274.63 2096.42 3440.83 3440.89
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 4 24 20 1780 6.4e-05 4096 4.55632e-41 820 382080 69.7227 908.367 2096.95 3075.1 3075.15
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 25 20 1780 6.4e-05 4096 4.58155e-41 820 382200 69.7201 1326.2 2095.11 3491.09 3491.15
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 4 25 20 1780 6.4e-05 4096 4.56879e-41 820 382000 69.7349 934.468 2094.91 3099.17 3099.22
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 28 20 1780 6.4e-05 4096 4.57944e-41 820 382144 69.729 1695.39 2095.2 3860.37 3860.42
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 4 28 20 1780 6.4e-05 4096 4.5587e-41 820 381920 69.7204 1110.93 2096.04 3276.75 3276.8
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 30 20 1780 6.4e-05 4096 4.57496e-41 820 382080 69.7366 1623.03 2094.18 3787.01 3787.06
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 4 30 20 1780 6.4e-05 4096 4.58337e-41 820 381840 69.718 1100.21 2093.94 3263.92 3263.97
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 32 20 1780 6.4e-05 4096 4.5779e-41 820 382080 69.7428 1580.87 2094.93 3745.6 3745.66
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 4 32 20 1780 6.4e-05 4096 4.55702e-41 820 381952 69.7199 1066.31 2094.92 3231 3231.05
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 48 20 1780 6.4e-05 4096 4.58112e-41 820 382080 69.7242 1383 2096.96 3549.74 3549.8
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 4 48 20 1780 6.4e-05 4096 4.56655e-41 820 381696 69.7303 964.989 2094.1 3128.87 3128.93
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 50 20 1780 6.4e-05 4096 4.57678e-41 820 382000 69.718 1423.86 2096.1 3589.73 3589.79
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 4 50 20 1780 6.4e-05 4096 4.56389e-41 820 381600 69.6932 1015.2 2095.27 3180.22 3180.28
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
2 4 2 8 24 1780 6.4e-05 4096 4.55842e-41 816 382304 69.7306 2239.32 2095.37 4404.47 4404.53
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
2 4 2 10 24 1780 6.4e-05 4096 4.55828e-41 816 382320 69.7353 2126.05 2096.91 4292.75 4292.81
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 12 24 1780 6.4e-05 4096 4.57902e-41 816 382272 69.7365 1110.27 2094.97 3275.03 3275.08
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
2 4 4 12 24 1780 6.4e-05 4096 4.55632e-41 816 382176 69.7347 2238.09 2096.67 4404.54 4404.6
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 14 24 1780 6.4e-05 4096 4.57454e-41 816 382256 69.7385 1279.81 2094.98 3444.58 3444.64
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
2 4 4 14 24 1780 6.4e-05 4096 4.56193e-41 816 382144 69.7303 2660.59 2096.39 4826.76 4826.81
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 16 24 1780 6.4e-05 4096 4.58267e-41 816 382272 69.7421 1240.74 2095 3405.54 3405.59
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 4 16 24 1780 6.4e-05 4096 4.55997e-41 816 382208 69.7428 831.744 2094.64 2996.18 2996.24
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 18 24 1780 6.4e-05 4096 4.57748e-41 816 382248 69.7311 1341.62 2096.98 3508.38 3508.44
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 4 18 24 1780 6.4e-05 4096 4.56683e-41 816 382176 69.7549 940.067 2096.76 3106.63 3106.69
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 20 24 1780 6.4e-05 4096 4.58183e-41 816 382240 69.7411 1268.95 2096.99 3435.73 3435.79
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 4 20 24 1780 6.4e-05 4096 4.56935e-41 816 382080 69.7446 908.678 2094.55 3073.03 3073.09
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 24 24 1780 6.4e-05 4096 4.57216e-41 816 382176 69.7528 1632.33 2095.03 3797.17 3797.22
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 4 24 24 1780 6.4e-05 4096 4.58014e-41 816 382080 69.7365 1054.12 2095.09 3219.01 3219.07
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 25 24 1780 6.4e-05 4096 4.57944e-41 816 382200 69.7283 1609.21 2094.89 3773.88 3773.94
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 4 25 24 1780 6.4e-05 4096 4.56487e-41 816 382000 69.7641 1091.32 2095.92 3257.06 3257.11
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 28 24 1780 6.4e-05 4096 4.56207e-41 816 382144 69.7416 1578.34 2094.14 3742.27 3742.33
