# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 16 10 1890 3.2e-05 512 1.1 190 735232 31.0731 16.6727 116.711 523.775 688.427 688.581
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 18 10 1890 3.2e-05 512 1.1 190 737280 31.0173 16.7291 133.004 524.36 705.308 705.478
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 20 10 1890 3.2e-05 512 1.1 190 734720 31.0842 16.7035 137.738 523.686 709.404 709.549
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 24 10 1890 3.2e-05 512 1.1 190 734208 31.054 16.6778 128.803 523.778 700.509 700.662
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 25 10 1890 3.2e-05 512 1.1 190 736000 31.083 16.7322 130.022 524.279 702.307 702.457
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 28 10 1890 3.2e-05 512 1.1 190 731136 30.9463 16.6687 133.437 521.657 702.901 703.062
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 30 10 1890 3.2e-05 512 1.1 190 733440 31.1439 16.7027 134.571 522.991 705.6 705.75
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 32 10 1890 3.2e-05 512 1.1 190 733184 30.8705 16.6489 130.057 522.495 700.268 700.42
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 48 10 1890 3.2e-05 512 1.1 190 731136 31.2151 16.6775 130.47 523.547 702.1 702.247
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 50 10 1890 3.2e-05 512 1.1 190 736000 31.054 16.7213 141.702 524.211 713.884 714.039
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 64 10 1890 3.2e-05 512 1.1 190 729088 31.1073 16.6482 164.678 522.163 734.786 734.937
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 8 15 1890 3.2e-05 512 1.1 195 736256 31.1875 16.6755 185.281 523.758 757.1 757.26
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 10 15 1890 3.2e-05 512 1.1 195 737280 31.1591 16.7143 191.905 523.728 763.703 763.86
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 12 15 1890 3.2e-05 512 1.1 195 735744 31.2216 16.696 183.458 523.389 754.958 755.117
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 14 15 1890 3.2e-05 512 1.1 195 734720 31.0543 16.7075 120.124 523.325 691.402 691.552
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 16 15 1890 3.2e-05 512 1.1 195 735232 31.0183 16.6735 122.288 523.656 693.821 693.977
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 18 15 1890 3.2e-05 512 1.1 195 737280 30.9524 16.7264 138.749 524.36 710.978 711.127
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 20 15 1890 3.2e-05 512 1.1 195 737280 30.8944 16.6956 135.203 523.679 706.669 706.83
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 24 15 1890 3.2e-05 512 1.1 195 734208 31.015 16.6789 144.997 523.909 716.795 716.956
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 25 15 1890 3.2e-05 512 1.1 195 736000 31.0714 16.7301 144.114 524.133 716.248 716.411
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 28 15 1890 3.2e-05 512 1.1 195 731136 30.9588 16.6687 143.97 522.201 713.989 714.145
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 30 15 1890 3.2e-05 512 1.1 195 733440 31.0923 16.7094 141.418 523.357 712.773 712.939
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 32 15 1890 3.2e-05 512 1.1 195 733184 30.8549 16.6523 135.314 522.562 705.575 705.73
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 48 15 1890 3.2e-05 512 1.1 195 731136 31.2172 16.6625 159.125 523.365 730.565 730.716
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 50 15 1890 3.2e-05 512 1.1 195 736000 31.0328 16.7186 161.477 524.321 733.745 733.897
