# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 16 10 500 0.001024 4096 4.5772e-41 3590 17408 4.05299 229.939 130.911 364.952 365.009
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 18 10 500 0.001024 4096 4.58477e-41 3590 17424 4.04749 267.242 131.02 402.363 402.408
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 20 10 500 0.001024 4096 4.57748e-41 3590 17440 4.05504 277.788 131.057 412.955 413.018
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 24 10 500 0.001024 4096 4.5765e-41 3590 17376 4.05094 259.164 130.826 394.094 394.15
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 25 10 500 0.001024 4096 4.5594e-41 3590 17400 4.03152 262.109 131.075 397.269 397.326
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 28 10 500 0.001024 4096 4.58042e-41 3590 17360 4.04486 270.791 130.785 405.678 405.739
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 30 10 500 0.001024 4096 4.59023e-41 3590 17400 4.05504 270.987 131.169 406.265 406.323
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 32 10 500 0.001024 4096 4.55983e-41 3590 17280 4.03046 261.892 130.564 396.543 396.591
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 48 10 500 0.001024 4096 4.57216e-41 3590 17280 4.05504 265.042 130.82 399.971 400.017
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 50 10 500 0.001024 4096 4.57944e-41 3590 17200 4.02842 283.122 130.414 417.616 417.672
