# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 16 10 700 3.2e-05 512 0.021 1770 565248 49.0119 16.6513 546.625 522.124 1134.66 1134.84
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 18 10 700 3.2e-05 512 0.021 1770 552960 49.6958 16.6583 643.428 519.271 1229.3 1229.48
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 20 10 700 3.2e-05 512 0.021 1770 563200 49.0899 16.6666 683.478 522.55 1272.03 1272.22
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 24 10 700 3.2e-05 512 0.021 1770 552960 49.5399 16.6181 624.833 519.624 1210.87 1211.05
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 25 10 700 3.2e-05 512 0.021 1770 563200 49.4922 16.729 642.308 524.223 1233 1233.19
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 28 10 700 3.2e-05 512 0.021 1770 559104 49.0003 16.6441 658.088 519.332 1243.32 1243.52
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 30 10 700 3.2e-05 512 0.021 1770 552960 48.9362 16.5789 654.048 515.705 1235.52 1235.71
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 32 10 700 3.2e-05 512 0.021 1770 557056 48.6664 17.5044 635.422 516.596 1218.44 1218.62
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 48 10 700 3.2e-05 512 0.021 1770 540672 49.1339 16.4168 624.697 511.226 1201.72 1201.9
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 50 10 700 3.2e-05 512 0.021 1770 537600 50.3437 19.585 671.791 515.136 1257.1 1257.28
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 64 10 700 3.2e-05 512 0.021 1770 524288 49.4513 16.2316 760.676 506.023 1332.63 1332.82
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 8 15 700 3.2e-05 512 0.021 1770 557056 50.1626 16.6547 552.743 522.465 1142.27 1142.46
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 10 15 700 3.2e-05 512 0.021 1770 558080 49.7396 16.681 560.743 522.529 1149.95 1150.14
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 12 15 700 3.2e-05 512 0.021 1770 559104 49.8913 16.698 557.686 523.274 1147.8 1147.99
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 14 15 700 3.2e-05 512 0.021 1770 551936 49.8269 16.6545 565.312 519.788 1151.84 1152.03
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 16 15 700 3.2e-05 512 0.021 1770 557056 49.7085 16.649 554.039 521.963 1142.6 1142.78
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 18 15 700 3.2e-05 512 0.021 1770 552960 49.6349 16.6502 656.677 519.302 1242.51 1242.69
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 20 15 700 3.2e-05 512 0.021 1770 552960 50.0356 16.6715 640.926 522.062 1230.24 1230.43
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 24 15 700 3.2e-05 512 0.021 1770 552960 49.4842 16.6182 687.112 519.4 1272.86 1273.04
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 25 15 700 3.2e-05 512 0.021 1770 550400 50.7355 16.7301 677.933 524.259 1269.91 1270.11
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 28 15 700 3.2e-05 512 0.021 1770 544768 50.3501 16.6338 674.727 519.722 1261.68 1261.87
