1130,430,2260,32,1024
1110,310,2220,512,2048
1790,480,3580,256,512
870,70,1740,512,2048
1040,310,2080,64,4096
1940,180,3880,256,512
320,107,640,512,1024
1960,130,3920,1024,1024
580,125,1160,128,4096
1420,230,2840,32,2048
1280,430,2560,32,1024
1430,360,2860,256,512
880,140,1760,512,2048
1340,190,2680,512,4096
1670,110,3340,128,4096
280,87,560,1024,4096
390,155,780,256,512
1960,120,3920,1024,2048
1390,110,2780,32,4096
650,130,1300,64,512
960,230,1920,512,4096
460,150,920,1024,4096
720,60,1440,512,512
700,70,1400,64,512
830,210,1660,32,1024
510,125,1020,1024,4096
860,220,1720,512,1024
460,102,920,64,1024
1800,210,3600,64,2048
410,145,820,64,512
1880,370,3760,512,512
950,225,1900,512,4096
330,100,660,256,2048
850,170,1700,256,1024
1540,490,3080,64,4096
1640,80,3280,512,512
1200,320,2400,512,1024
1450,240,2900,128,2048
1820,190,3640,128,1024
340,85,680,128,1024
780,195,1560,64,2048
330,125,660,512,4096
590,130,1180,1024,4096
1510,400,3020,1024,512
1520,140,3040,512,1024
1790,500,3580,64,1024
1270,410,2540,512,4096
370,120,740,32,1024
1870,380,3740,32,512
1650,270,3300,64,2048
750,210,1500,32,1024
1200,210,2400,256,4096
1980,80,3960,32,4096
1500,320,3000,512,4096
1720,460,3440,512,2048
1010,130,2020,1024,2048
1070,240,2140,128,4096
1230,390,2460,256,512
720,60,1440,1024,1024
1560,480,3120,256,512
1130,400,2260,64,4096
1380,300,2760,1024,2048
790,130,1580,32,1024
490,135,980,64,512
1080,280,2160,1024,2048
880,250,1760,128,1024
1630,440,3260,64,512
1620,490,3240,32,512
1420,360,2840,1024,512
480,115,960,32,1024
280,60,560,64,512
1230,270,2460,1024,1024
770,150,1540,128,4096
1900,230,3800,256,1024
1970,370,3940,256,512
750,150,1500,512,2048
1650,390,3300,32,4096
1820,500,3640,256,1024
1300,490,2600,32,512
1800,290,3600,512,512
1910,490,3820,128,512
1210,100,2420,1024,2048
1530,70,3060,64,1024
1260,190,2520,256,2048
290,77,580,1024,2048
1030,290,2060,32,2048
1380,460,2760,32,2048
1160,290,2320,32,4096
900,240,1800,512,2048
1890,290,3780,256,4096
1700,370,3400,32,1024
1740,50,3480,512,512
900,205,1800,256,512
1290,110,2580,32,2048
1780,270,3560,32,1024
1890,160,3780,32,2048
1420,210,2840,512,2048
610,175,1220,32,2048
1400,120,2800,64,2048
370,85,740,64,2048
960,140,1920,32,1024
1420,130,2840,1024,1024
1890,200,3780,512,4096
1670,450,3340,512,1024
1100,260,2200,256,512
1580,230,3160,256,512
980,130,1960,64,2048
1960,490,3920,256,4096
1980,230,3960,32,4096
1770,430,3540,32,512
930,330,1860,32,4096
1050,220,2100,1024,2048
680,225,1360,1024,1024
1630,410,3260,32,2048
1800,260,3600,128,1024
1850,420,3700,256,2048
1230,460,2460,64,2048
1300,240,2600,512,1024
510,200,1020,256,512
1830,320,3660,128,4096
1040,230,2080,64,1024
610,185,1220,512,4096
1830,220,3660,1024,512
1590,380,3180,512,512
1800,480,3600,128,4096
750,290,1500,1024,4096
1430,290,2860,64,4096
1410,190,2820,256,4096
460,80,920,1024,512
960,130,1920,64,2048
730,90,1460,64,4096
1510,260,3020,1024,2048
740,50,1480,32,4096
1820,470,3640,64,512
1700,340,3400,256,4096
930,50,1860,64,4096
1120,60,2240,256,2048
1470,140,2940,512,1024
1710,250,3420,256,1024
1320,100,2640,256,2048
1260,50,2520,512,512
820,190,1640,64,1024
1050,210,2100,256,4096
1500,400,3000,32,2048
1800,250,3600,256,1024
1510,250,3020,1024,1024
280,70,560,1024,1024
1430,70,2860,128,4096
1020,90,2040,64,4096
1020,320,2040,256,2048
450,160,900,1024,4096
1680,430,3360,256,1024
820,220,1640,1024,1024
680,245,1360,64,512
850,270,1700,32,512
910,150,1820,64,4096
1210,150,2420,128,2048
1230,290,2460,128,2048
940,200,1880,64,4096
950,200,1900,512,2048
1150,260,2300,32,2048
1400,340,2800,128,512
1920,470,3840,64,2048
1520,120,3040,64,512
950,370,1900,32,512
1710,310,3420,256,2048
480,120,960,64,2048
350,112,700,32,512
390,115,780,32,1024
530,130,1060,64,2048
820,170,1640,256,2048
780,165,1560,1024,512
270,100,540,32,512
1200,410,2400,1024,512
410,125,820,32,1024
500,125,1000,1024,1024
1360,100,2720,512,512
1760,150,3520,1024,2048
1960,60,3920,32,512
1250,320,2500,256,512
2000,100,4000,128,4096
1220,230,2440,64,4096
1150,450,2300,256,512
830,300,1660,256,1024
1000,210,2000,64,4096
1110,140,2220,256,512
370,125,740,1024,4096
1810,480,3620,128,4096
360,100,720,512,2048
1010,260,2020,128,512
1700,440,3400,32,1024
940,60,1880,64,4096
1320,360,2640,512,2048
1690,500,3380,128,1024
1800,180,3600,32,2048
1880,110,3760,256,512
580,180,1160,128,2048
700,230,1400,512,4096
1830,330,3660,256,4096
1290,460,2580,512,1024
1130,130,2260,512,2048
1320,390,2640,64,1024
1690,200,3380,32,4096
1180,240,2360,512,512
600,120,1200,256,1024
1040,210,2080,32,4096
1000,330,2000,1024,512
1950,380,3900,256,2048
1340,420,2680,256,4096
1470,80,2940,256,2048
1510,480,3020,512,512
860,270,1720,1024,1024
1150,390,2300,128,1024
1220,390,2440,32,1024
520,107,1040,512,2048
1230,120,2460,64,512
1470,260,2940,1024,4096
1000,330,2000,128,2048
1720,470,3440,512,512
1530,430,3060,64,2048
880,230,1760,32,4096
1040,310,2080,1024,4096
930,310,1860,32,2048
1610,440,3220,512,1024
1540,60,3080,512,1024
1000,225,2000,128,2048
1470,230,2940,128,512
1910,60,3820,1024,1024
1630,390,3260,128,4096
1490,120,2980,128,4096
440,110,880,32,4096
930,320,1860,64,4096
1280,160,2560,64,512
1050,190,2100,1024,2048
330,115,660,64,2048
650,230,1300,64,4096
1710,220,3420,128,2048
270,82,540,512,1024
1770,120,3540,32,2048
380,130,760,1024,4096
1420,90,2840,32,2048
1130,190,2260,128,512
630,200,1260,32,4096
1250,150,2500,512,512
460,97,920,512,2048
1430,360,2860,64,512
1300,420,2600,512,1024
340,107,680,256,4096
340,90,680,1024,512
510,190,1020,256,4096
280,72,560,1024,2048
1010,190,2020,128,1024
1710,430,3420,128,512
1330,420,2660,128,1024
1160,300,2320,64,4096
1770,170,3540,1024,512
420,90,840,128,2048
1840,150,3680,64,2048
440,125,880,128,2048
1150,220,2300,512,4096
500,145,1000,128,1024
1230,250,2460,64,1024
250,97,500,1024,4096
1590,500,3180,256,4096
1740,150,3480,128,1024
1860,290,3720,64,512
1980,70,3960,64,2048
1130,390,2260,256,512
720,160,1440,128,2048
420,110,840,512,1024
1140,250,2280,32,1024
1280,470,2560,1024,2048
1590,230,3180,512,2048
390,50,780,32,4096
1410,290,2820,1024,512
1150,140,2300,64,2048
550,150,1100,256,512
1900,190,3800,256,4096
1280,90,2560,32,2048
1020,390,2040,32,4096
1900,390,3800,512,512
1400,290,2800,512,4096
1040,200,2080,128,2048
1720,430,3440,32,2048
1180,300,2360,256,1024
1220,245,2440,64,512
1440,460,2880,512,4096
890,210,1780,256,512
670,150,1340,64,1024
1260,200,2520,1024,2048
1770,330,3540,512,4096
960,205,1920,1024,2048
440,97,880,32,4096
1030,100,2060,64,512
770,210,1540,512,1024
950,60,1900,512,2048
1710,240,3420,512,512
960,380,1920,256,2048
930,200,1860,128,1024
880,210,1760,256,4096
490,390,980,1024,1024
700,460,1400,512,1024
400,160,800,256,4096
1000,100,2000,64,2048
700,150,1400,512,1024
770,210,1540,128,512
990,180,1980,256,2048
450,470,900,1024,2048
1120,70,2240,1024,512
1490,320,2980,1024,512
670,120,1340,1024,4096
1630,430,3260,512,1024
380,120,760,32,512
940,280,1880,32,512
250,500,500,32,512
630,210,1260,64,4096
250,70,500,32,1024
580,140,1160,128,2048
500,230,1000,128,1024
720,200,1440,256,512
550,150,1100,1024,4096
490,480,980,64,1024
1300,360,2600,128,1024
1830,490,3660,1024,2048
1900,250,3800,128,1024
630,480,1260,32,1024
1090,50,2180,256,2048
910,330,1820,1024,4096
1170,410,2340,128,2048
710,150,1420,512,1024
370,470,740,256,512
1010,400,2020,128,1024
550,430,1100,128,512
290,310,580,1024,4096
1930,410,3860,32,2048
1000,200,2000,64,512
1940,150,3880,128,2048
1590,190,3180,256,512
260,310,520,1024,4096
1440,430,2880,128,1024
1490,180,2980,128,2048
1380,230,2760,512,2048
1220,440,2440,128,2048
630,330,1260,1024,1024
1600,500,3200,128,512
650,140,1300,128,1024
900,430,1800,128,512
1810,360,3620,64,2048
1750,160,3500,32,512
950,260,1900,32,4096
800,230,1600,1024,2048
1320,320,2640,64,4096
1850,410,3700,1024,2048
1850,90,3700,512,512
1290,420,2580,1024,1024
830,430,1660,1024,4096
1750,210,3500,32,4096
1020,240,2040,128,1024
1840,310,3680,1024,4096
