# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 16 10 1680 0.000128 4096 170 6650 147904 28.4113 3493.33 838.579 4360.38 4360.44
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 18 10 1680 0.000128 4096 170 6650 147888 28.3525 4188.68 838.92 5056.01 5056.07
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 20 10 1680 0.000128 4096 170 6650 147920 28.4427 4344.48 838.232 5211.21 5211.27
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 24 10 1680 0.000128 4096 170 6650 147840 28.4103 4048.25 837.662 4914.38 4914.43
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 25 10 1680 0.000128 4096 170 6650 147900 28.4218 4100.24 838.056 4966.77 4966.82
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 28 10 1680 0.000128 4096 170 6650 147840 28.416 4185.43 838.488 5052.39 5052.45
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 30 10 1680 0.000128 4096 170 6650 147840 28.3668 4215.33 837.765 5081.51 5081.57
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 32 10 1680 0.000128 4096 170 6650 147840 28.4142 4085.54 838.121 4952.13 4952.19
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 48 10 1680 0.000128 4096 170 6650 147648 28.4166 4128.62 837.309 4994.41 4994.46
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 50 10 1680 0.000128 4096 170 6650 147800 28.4594 4409.54 838.855 5276.91 5276.96
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 64 10 1680 0.000128 4096 170 6650 147712 28.3977 5151.7 838.222 6018.38 6018.43
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 8 15 1680 0.000128 4096 170 6645 147968 28.45 3583.56 838.837 4450.9 4450.95
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 10 15 1680 0.000128 4096 170 6645 147960 28.4463 3610.56 838.911 4477.97 4478.02
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 12 15 1680 0.000128 4096 170 6645 147936 28.4611 3598.13 838.65 4465.3 4465.35
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 14 15 1680 0.000128 4096 170 6645 147952 28.4431 3664.51 838.879 4531.88 4531.94
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 16 15 1680 0.000128 4096 170 6645 147904 28.4385 3567.13 837.959 4433.59 4433.64
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 18 15 1680 0.000128 4096 170 6645 147888 28.4226 4226.76 838.695 5093.93 5093.98
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 20 15 1680 0.000128 4096 170 6645 147920 28.459 4119.64 837.983 4986.14 4986.19
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 24 15 1680 0.000128 4096 170 6645 147840 28.4368 4377.75 837.782 5244.02 5244.07
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 25 15 1680 0.000128 4096 170 6645 147900 28.4652 4354.34 838.742 5221.6 5221.65
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 28 15 1680 0.000128 4096 170 6645 147840 28.4303 4384.22 838.582 5251.3 5251.35
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 30 15 1680 0.000128 4096 170 6645 147840 28.4269 4332.1 837.892 5198.47 5198.53
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 32 15 1680 0.000128 4096 170 6645 147840 28.4441 4157.41 838.038 5023.94 5023.99
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 48 15 1680 0.000128 4096 170 6645 147648 28.4377 4821.17 837.801 5687.46 5687.51
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 50 15 1680 0.000128 4096 170 6645 147800 28.4527 4880.8 838.136 5747.45 5747.5
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 64 15 1680 0.000128 4096 170 6645 147712 28.4385 4442.65 837.731 5308.88 5308.93
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 8 20 1680 0.000128 4096 170 6660 147968 28.4429 3374.4 838.421 4241.32 4241.38
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 10 20 1680 0.000128 4096 170 6660 147960 28.4396 3790.75 839.164 4658.41 4658.47
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 12 20 1680 0.000128 4096 170 6660 147936 28.4447 3531.89 838.138 4398.53 4398.58
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 14 20 1680 0.000128 4096 170 6660 147896 28.414 3579.27 837.98 4445.72 4445.77
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 16 20 1680 0.000128 4096 170 6660 147904 28.4303 3436.9 838.051 4303.44 4303.49
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 18 20 1680 0.000128 4096 170 6660 147888 28.4248 4436.88 838.623 5303.98 5304.03
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 4 18 20 1680 0.000128 4096 170 6660 147744 28.4228 3083.94 838.41 3950.83 3950.89
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 20 20 1680 0.000128 4096 170 6660 147920 28.4309 4278.74 838.847 5146.08 5146.13
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 4 20 20 1680 0.000128 4096 170 6660 147840 28.4362 2991.68 839.111 3859.28 3859.33
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 24 20 1680 0.000128 4096 170 6660 147840 28.4201 4014.86 838.665 4882 4882.06
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 4 24 20 1680 0.000128 4096 170 6660 147648 28.4269 2856.77 838.07 3723.32 3723.37
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 25 20 1680 0.000128 4096 170 6660 147900 28.4303 4189.6 838.921 5057.01 5057.06
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 4 25 20 1680 0.000128 4096 170 6660 147800 28.4428 2948.12 838.24 3814.86 3814.92
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 28 20 1680 0.000128 4096 170 6660 147840 28.4157 5329.79 837.982 6196.25 6196.3
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 4 28 20 1680 0.000128 4096 170 6660 147616 28.425 3503.92 837.359 4369.76 4369.81
