# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 16 10 510 0.000512 512 0.2 910 12288 3.13523 0.876544 9.58832 26.3373 40.1427 40.2879
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 8 2 16 10 510 0.000512 512 0.2 910 12288 3.13872 0.876448 9.15142 26.3594 39.7308 39.8685
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 16 2 16 10 510 0.000512 512 0.2 910 12288 3.13306 0.883104 9.01654 26.356 39.5953 39.7338
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 32 2 16 10 510 0.000512 512 0.2 910 12288 3.14608 0.877888 27.3523 26.3614 57.9408 58.0813
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 18 10 510 0.000512 512 0.2 910 9216 3.15014 0.821376 8.8073 24.9863 37.9663 38.1066
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 8 2 18 10 510 0.000512 512 0.2 910 9216 3.13917 0.827008 8.48794 24.9877 37.6449 37.7876
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 16 2 18 10 510 0.000512 512 0.2 910 9216 3.13907 0.823296 8.39005 24.97 37.5254 37.6656
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 32 2 18 10 510 0.000512 512 0.2 910 9216 3.15133 0.821728 15.6355 24.9848 44.7955 44.938
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 20 10 510 0.000512 512 0.2 910 10240 3.2111 0.865312 10.1526 26.0019 40.4323 40.5789
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 8 2 20 10 510 0.000512 512 0.2 910 10240 3.2112 0.864256 9.72019 26.0245 40.0258 40.1654
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 16 2 20 10 510 0.000512 512 0.2 910 10240 3.2127 0.86448 9.58656 26.0205 39.8851 40.0282
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 32 2 20 10 510 0.000512 512 0.2 910 10240 3.22006 0.865408 21.2735 26.002 51.565 51.7018
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 24 10 510 0.000512 512 0.2 910 9216 3.13014 0.825344 8.57066 25.0065 37.7316 37.8735
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 8 2 24 10 510 0.000512 512 0.2 910 9216 3.13338 0.825088 8.30813 25.0044 37.4722 37.6117
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 16 2 24 10 510 0.000512 512 0.2 910 9216 3.12947 0.824096 8.1303 24.9863 37.273 37.4151
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 32 2 24 10 510 0.000512 512 0.2 910 9216 3.13584 0.821888 20.031 24.9782 49.1676 49.3111
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 25 10 510 0.000512 512 0.2 910 9600 3.27107 0.862592 8.99645 26.0381 39.3716 39.515
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 8 2 25 10 510 0.000512 512 0.2 910 9600 3.27782 0.866304 8.75811 26.033 39.1371 39.2809
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 16 2 25 10 510 0.000512 512 0.2 910 9600 3.27546 0.864768 8.56627 26.0419 38.9514 39.0897
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 32 2 25 10 510 0.000512 512 0.2 910 9600 3.28378 0.866496 21.014 26.0366 51.4023 51.54
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 28 10 510 0.000512 512 0.2 910 7168 3.15664 0.796352 6.89546 24.3279 35.3781 35.519
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 8 2 28 10 510 0.000512 512 0.2 910 7168 3.15968 0.798304 6.61619 24.306 35.0852 35.2285
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 16 2 28 10 510 0.000512 512 0.2 910 7168 3.15821 0.792576 6.5377 24.3239 35.0127 35.1515
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
1 32 2 28 10 510 0.000512 512 0.2 910 7168 3.16886 0.79408 9.40064 24.3262 37.8879 38.0273
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Binning Corner_Turn Dedispersion Host_To_Device total total 
