# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 16 10 630 0.000512 4096 3.07613e-41 6330 28096 9.66544 1118 49.1704 1176.88 1176.92
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 8 2 16 10 630 0.000512 4096 3.07347e-41 6330 28096 9.6705 1154.18 50.0362 1213.93 1213.98
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 16 2 16 10 630 0.000512 4096 3.08146e-41 6330 28096 9.67066 1269.9 49.1592 1328.77 1328.82
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 32 2 16 10 630 0.000512 4096 3.07137e-41 6330 28096 9.6167 3296.39 49.0316 3355.09 3355.13
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 18 10 630 0.000512 4096 3.06506e-41 6330 28080 9.68205 1370.32 49.0844 1429.13 1429.17
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 8 2 18 10 630 0.000512 4096 3.07683e-41 6330 28080 9.66963 1400.46 49.1768 1459.35 1459.39
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 16 2 18 10 630 0.000512 4096 3.07319e-41 6330 28080 9.62208 1433.55 49.0936 1492.31 1492.36
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 32 2 18 10 630 0.000512 4096 3.06968e-41 6330 28080 9.66829 4176.6 49.0767 4235.39 4235.43
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 20 10 630 0.000512 4096 3.07893e-41 6330 28080 9.66813 1376.37 48.939 1435.02 1435.06
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 8 2 20 10 630 0.000512 4096 3.06142e-41 6330 28080 9.67181 1509.11 49.0959 1567.93 1567.97
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 16 2 20 10 630 0.000512 4096 3.083e-41 6330 28080 9.62666 1380.48 49.1817 1439.33 1439.37
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 32 2 20 10 630 0.000512 4096 3.0673e-41 6330 28080 9.66106 3562.24 49.053 3621 3621.05
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 24 10 630 0.000512 4096 3.07949e-41 6330 28032 9.65754 1293.78 49.1448 1352.63 1352.7
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 8 2 24 10 630 0.000512 4096 3.06702e-41 6330 28032 9.65827 1296.73 49.0157 1355.45 1355.5
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 16 2 24 10 630 0.000512 4096 3.07445e-41 6330 28032 9.61341 1400.6 49.2483 1459.5 1459.54
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 32 2 24 10 630 0.000512 4096 3.08594e-41 6330 28032 9.65427 3946.59 49.0157 4005.31 4005.35
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 25 10 630 0.000512 4096 3.06814e-41 6330 28000 9.65056 1313.02 49.0346 1371.74 1371.79
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 8 2 25 10 630 0.000512 4096 3.0666e-41 6330 28000 9.65018 1259.09 50.0008 1318.78 1318.83
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 16 2 25 10 630 0.000512 4096 3.08566e-41 6330 28000 9.68438 1375.76 49.1643 1434.65 1434.69
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 32 2 25 10 630 0.000512 4096 3.06604e-41 6330 28000 9.6472 4018.97 49.1712 4077.83 4077.88
