# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total
1 4 2 16 10 1400 0.000256 4096 0.1 510 468480 84.8952 832.935 2514.8 3432.72 3432.82
1 4 2 16 10 1400 0.000256 4096 0.2 510 468288 84.923 835.314 2515.67 3435.99 3436.1
1 4 2 16 10 1400 0.000256 4096 0.5 510 467712 84.9737 851.597 2518.56 3455.22 3455.32
1 4 2 16 10 1400 0.000256 4096 1 510 466816 85.1227 874.184 2523.67 3483.08 3483.18
1 4 2 16 10 1400 0.000256 4096 2 510 464960 85.3748 884.23 2539.6 3509.29 3509.39
1 4 2 18 10 1400 0.000256 4096 0.1 510 468432 84.8835 1025.33 2523.2 3633.51 3633.61
1 4 2 18 10 1400 0.000256 4096 0.2 510 468288 84.9003 1020.8 2524.61 3630.41 3630.51
1 4 2 18 10 1400 0.000256 4096 0.5 510 467712 84.9925 1014.61 2532.26 3631.95 3632.05
1 4 2 18 10 1400 0.000256 4096 1 510 466776 85.0962 1013.72 2534.23 3633.13 3633.23
1 4 2 18 10 1400 0.000256 4096 2 510 464976 85.3879 1009.52 2549.02 3644.02 3644.12
1 4 2 20 10 1400 0.000256 4096 0.1 510 468480 84.9119 1063.99 2525.97 3674.97 3675.07
1 4 2 20 10 1400 0.000256 4096 0.2 510 468240 84.9032 1063.24 2529.39 3677.62 3677.72
1 4 2 20 10 1400 0.000256 4096 0.5 510 467680 85.0103 1057.8 2529.88 3672.78 3672.88
1 4 2 20 10 1400 0.000256 4096 1 510 466800 85.1355 1057.36 2534.84 3677.43 3677.53
1 4 2 20 10 1400 0.000256 4096 2 510 464960 85.405 1055.28 2544.84 3685.62 3685.71
1 4 2 24 10 1400 0.000256 4096 0.1 510 468384 84.8708 1003.05 2517.95 3605.97 3606.07
1 4 2 24 10 1400 0.000256 4096 0.2 510 468192 84.8932 995.538 2518.86 3599.38 3599.49
1 4 2 24 10 1400 0.000256 4096 0.5 510 467712 84.9938 987.018 2526.45 3598.55 3598.65
1 4 2 24 10 1400 0.000256 4096 1 510 466752 85.1465 984.195 2529.29 3598.72 3598.82
1 4 2 24 10 1400 0.000256 4096 2 510 464928 85.3863 981.449 2539.69 3606.62 3606.72
1 4 2 25 10 1400 0.000256 4096 0.1 510 468400 84.9094 995.296 2517.73 3598.04 3598.14
1 4 2 25 10 1400 0.000256 4096 0.2 510 468200 84.9129 997.456 2518.6 3601.06 3601.16
1 4 2 25 10 1400 0.000256 4096 0.5 510 467700 85.0091 997.673 2521.88 3604.65 3604.75
1 4 2 25 10 1400 0.000256 4096 1 510 466800 85.1272 995.973 2527 3608.19 3608.29
1 4 2 25 10 1400 0.000256 4096 2 510 464900 85.4017 992.284 2536.62 3614.4 3614.5
1 4 2 28 10 1400 0.000256 4096 0.1 510 468384 84.8782 1023.34 2518.26 3626.57 3626.67
1 4 2 28 10 1400 0.000256 4096 0.2 510 468160 84.8878 1024.3 2519.3 3628.57 3628.68
1 4 2 28 10 1400 0.000256 4096 0.5 510 467712 85.007 1020.44 2522.56 3628.1 3628.21
1 4 2 28 10 1400 0.000256 4096 1 510 466704 85.128 1019.04 2527.07 3631.33 3631.43
1 4 2 28 10 1400 0.000256 4096 2 510 464912 85.4191 1015.09 2544.09 3644.68 3644.78
1 4 2 30 10 1400 0.000256 4096 0.1 510 468360 84.9151 1033.29 2515.74 3634.05 3634.14
1 4 2 30 10 1400 0.000256 4096 0.2 510 468240 84.905 1034.5 2517.03 3636.52 3636.63
1 4 2 30 10 1400 0.000256 4096 0.5 510 467640 85.0482 1028.77 2524.22 3638.12 3638.22
1 4 2 30 10 1400 0.000256 4096 1 510 466680 85.119 1026.78 2526.99 3638.98 3639.08
1 4 2 30 10 1400 0.000256 4096 2 510 464880 85.4341 1022.94 2537.1 3645.56 3645.66
1 4 2 32 10 1400 0.000256 4096 0.1 510 468352 84.9058 993.24 2524.07 3602.31 3602.4
1 4 2 32 10 1400 0.000256 4096 0.2 510 468224 84.9373 996.797 2525.33 3607.15 3607.26
1 4 2 32 10 1400 0.000256 4096 0.5 510 467584 84.9935 994.872 2527.87 3607.82 3607.92
1 4 2 32 10 1400 0.000256 4096 1 510 466688 85.1247 994.47 2533.01 3612.7 3612.8
1 4 2 32 10 1400 0.000256 4096 2 510 464896 85.4199 990.82 2543.26 3619.59 3619.69
1 4 2 48 10 1400 0.000256 4096 0.1 510 468288 84.9173 1022.96 2517.84 3625.82 3625.92
1 4 2 48 10 1400 0.000256 4096 0.2 510 468096 84.906 1018.06 2518.77 3621.83 3621.94
1 4 2 48 10 1400 0.000256 4096 0.5 510 467520 84.9899 1006.68 2521.65 3613.41 3613.51
1 4 2 48 10 1400 0.000256 4096 1 510 466560 85.1443 1002.34 2528.68 3616.26 3616.37
1 4 2 48 10 1400 0.000256 4096 2 510 464832 85.4344 1000.25 2543.91 3629.69 3629.79
1 4 2 50 10 1400 0.000256 4096 0.1 510 468200 84.8991 1107.32 2517.79 3710.1 3710.2
1 4 2 50 10 1400 0.000256 4096 0.2 510 468000 84.9392 1094.11 2518.86 3698 3698.1
1 4 2 50 10 1400 0.000256 4096 0.5 510 467600 85.0633 1075.71 2525.69 3686.55 3686.65
1 4 2 50 10 1400 0.000256 4096 1 510 466600 85.1374 1069.67 2527.04 3681.95 3682.05
1 4 2 50 10 1400 0.000256 4096 2 510 464800 85.4492 1060.72 2537.24 3683.5 3683.6
1 4 2 64 10 1400 0.000256 4096 0.1 510 468224 84.9375 1254.15 2518.93 3858.12 3858.22
1 4 2 64 10 1400 0.000256 4096 0.2 510 467968 84.9719 1252.76 2520.45 3858.27 3858.37
1 4 2 64 10 1400 0.000256 4096 0.5 510 467456 85.0492 1251.35 2528.19 3864.68 3864.78
1 4 2 64 10 1400 0.000256 4096 1 510 466432 85.1312 1248.44 2529.73 3863.39 3863.49
1 4 2 64 10 1400 0.000256 4096 2 510 464640 85.4502 1243.2 2537.39 3866.13 3866.23
1 4 2 8 15 1400 0.000256 4096 0.1 510 468512 84.8753 869.679 2518.02 3472.67 3472.77
1 4 2 8 15 1400 0.000256 4096 0.2 510 468320 84.8944 871.173 2518.94 3475.1 3475.21
1 4 2 8 15 1400 0.000256 4096 0.5 510 467776 85.0033 870.826 2521.99 3477.91 3478.01
1 4 2 8 15 1400 0.000256 4096 1 510 466848 85.1151 868.881 2526.96 3481.05 3481.15
2 4 2 8 15 1400 0.000256 4096 2 510 464992 85.3694 1679.71 2536.84 4302.01 4302.11
1 4 2 10 15 1400 0.000256 4096 0.1 510 468520 84.897 876.202 2518.04 3479.24 3479.34
1 4 2 10 15 1400 0.000256 4096 0.2 510 468320 84.9092 877.313 2518.62 3480.93 3481.04
1 4 2 10 15 1400 0.000256 4096 0.5 510 467760 85.0052 878.129 2521.85 3485.08 3485.18
1 4 2 10 15 1400 0.000256 4096 1 510 466840 85.1265 876.637 2528.43 3490.29 3490.39
1 4 2 10 15 1400 0.000256 4096 2 510 465000 85.3862 873.8 2545.66 3504.94 3505.03
1 4 2 12 15 1400 0.000256 4096 0.1 510 468480 84.8932 874.175 2517.36 3476.53 3476.63
1 4 2 12 15 1400 0.000256 4096 0.2 510 468288 84.8929 874.322 2518.48 3477.78 3477.89
1 4 2 12 15 1400 0.000256 4096 0.5 510 467760 85.0017 874.889 2525.01 3484.99 3485.09
1 4 2 12 15 1400 0.000256 4096 1 510 466848 85.1096 874.477 2529.47 3489.16 3489.26
1 4 2 12 15 1400 0.000256 4096 2 510 464976 85.3897 870.111 2538.59 3494.18 3494.28
1 4 2 14 15 1400 0.000256 4096 0.1 510 468496 84.9365 889.706 2517.16 3491.9 3492
1 4 2 14 15 1400 0.000256 4096 0.2 510 468272 84.9117 891.421 2517.9 3494.32 3494.43
1 4 2 14 15 1400 0.000256 4096 0.5 510 467768 85.0201 892.049 2521.17 3498.32 3498.42
