# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 24 32 300 6.4e-05 1024 0.01 1728 464448 20.5148 936.741 629.24 1586.55 1586.6
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 24 32 300 6.4e-05 1024 0.01 608 462912 21.1914 328.567 629.094 978.9 978.95
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 24 32 300 6.4e-05 1024 0.03 1024 455520 20.5189 543.404 629.176 1193.14 1193.19
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 24 32 300 6.4e-05 1024 0.05 864 445152 20.515 448.216 629.119 1097.9 1097.95
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
2 4 2 24 32 300 6.4e-05 1024 0.1 960 422016 20.4987 801.159 629.166 1450.87 1450.92
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
2 4 2 24 32 300 6.4e-05 1024 0.3 928 354528 20.5135 698.816 629.615 1348.99 1349.05
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
2 4 2 24 32 300 6.4e-05 1024 0.5 832 253632 20.5097 465.721 629.231 1115.51 1115.56
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
2 4 2 24 32 300 6.4e-05 1024 1 160 218688 20.4826 81.4613 629.265 731.253 731.308
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 24 32 300 6.4e-05 4096 0.01 6976 451584 86.7227 14676.1 2607.52 17370.5 17370.5
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 24 32 300 6.4e-05 4096 0.01 2464 445632 88.7155 5132.24 2642.1 7863.15 7863.25
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 24 32 300 6.4e-05 4096 0.03 4096 415776 94.7252 7966.08 2800.16 10861.1 10861.1
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 24 32 300 6.4e-05 4096 0.05 3296 375744 102.04 5800.12 3014.82 8917.1 8917.19
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
2 4 2 24 32 300 6.4e-05 4096 0.1 3904 281184 118.94 9041.25 3523.05 12683.3 12683.4
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
2 4 2 24 32 300 6.4e-05 4096 0.3 928 214080 131.194 1863.42 3882.89 5877.6 5877.68
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 24 32 300 0.000256 1024 0.03 2112 464736 20.5207 1147.61 629.159 1797.35 1797.4
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
1 4 2 24 32 300 0.000256 1024 0.05 768 462432 20.5001 415.507 629.123 1065.18 1065.23
# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total 
